City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,40,7.61,scattered clouds
1,Olafsvik,IS,64.8945,-23.7142,44.96,90,100,19.17,moderate rain
2,Mendi,PG,-6.1761,143.6513,53.42,95,71,4.38,broken clouds
3,Mataura,NZ,-46.1927,168.8643,49.48,97,98,0.98,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,57.9,81,0,4.61,clear sky
5,East London,ZA,-33.0153,27.9116,63.07,76,94,13.02,overcast clouds
6,Tazmalt,DZ,36.3868,4.3989,58.42,70,4,4.36,clear sky
7,Dikson,RU,73.5069,80.5464,23.25,93,100,29.06,light snow
8,Acajutla,SV,13.5928,-89.8275,86.2,67,43,8.3,scattered clouds
9,Thomaston,US,32.8882,-84.3266,73.18,66,100,4.61,overcast clouds
10,Motygino,RU,58.1831,94.7592,25.81,72,69,3.74,broken clouds
11,Beringovskiy,RU,63.05,179.3167,32.54,76,53,11.14,broken clouds
12,Sorland,NO,67.667,12.6934,39.06,97,100,14.03,overcast clouds
13,Atuona,PF,-9.8,-139.0333,78.58,75,1,16.06,clear sky
14,Shache,CN,38.4167,77.2406,72.09,21,0,5.73,clear sky
15,Vaini,TO,-21.2,-175.2,77.16,69,20,10.36,few clouds
16,Mindelo,CV,16.8901,-24.9804,72.95,68,20,20.71,few clouds
17,Jiguani,CU,20.3667,-76.4272,89.38,58,58,7.58,broken clouds
18,Taoudenni,ML,22.6783,-3.9836,88.63,7,46,11.18,scattered clouds
19,Stabat,ID,3.761,98.4513,80.8,98,100,2.55,overcast clouds
20,La Ronge,CA,55.1001,-105.2842,52.05,32,75,16.11,broken clouds
21,New Norfolk,AU,-42.7826,147.0587,41.72,81,45,2.66,scattered clouds
22,Nara,JP,34.6851,135.8049,56.52,41,100,3.4,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,23.02,scattered clouds
24,Flinders,AU,-34.5833,150.8552,57.38,88,97,4.0,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,76.48,78,94,21.74,overcast clouds
26,Okato,NZ,-39.2,173.8833,63.18,90,98,11.99,overcast clouds
27,Cidreira,BR,-30.1811,-50.2056,67.08,75,0,14.2,clear sky
28,Hithadhoo,MV,-0.6,73.0833,84.38,78,94,20.24,overcast clouds
29,Fortuna,US,40.5982,-124.1573,50.34,89,75,9.22,broken clouds
30,Chuy,UY,-33.6971,-53.4616,64.96,68,5,4.47,clear sky
31,Eyl,SO,7.9803,49.8164,83.79,77,6,11.61,clear sky
32,Jamestown,US,42.097,-79.2353,69.53,20,0,12.66,clear sky
33,Georgetown,MY,5.4112,100.3354,82.33,92,20,3.44,moderate rain
34,Ushuaia,AR,-54.8,-68.3,42.46,75,40,32.21,scattered clouds
35,Kapaa,US,22.0752,-159.319,80.58,78,40,13.8,scattered clouds
36,Bluff,NZ,-46.6,168.3333,49.8,92,98,2.66,moderate rain
37,Koslan,RU,63.4564,48.8989,44.67,95,100,8.37,moderate rain
38,Te Anau,NZ,-45.4167,167.7167,48.43,92,100,0.78,light rain
39,Hilo,US,19.7297,-155.09,91.27,78,75,5.75,light rain
40,Grindavik,IS,63.8424,-22.4338,51.75,100,100,19.57,light intensity drizzle
41,Brae,GB,60.3964,-1.353,48.06,87,100,17.09,overcast clouds
42,Clyde River,CA,70.4692,-68.5914,30.43,74,100,0.0,overcast clouds
43,Loum,CM,4.7182,9.7351,74.57,97,97,0.74,light rain
44,Luderitz,NA,-26.6481,15.1594,62.02,45,75,9.46,broken clouds
45,Ahuimanu,US,21.4447,-157.8378,82.11,68,75,10.36,broken clouds
46,Umm Lajj,SA,25.0213,37.2685,82.0,39,100,7.02,overcast clouds
47,Lagoa,PT,39.05,-27.9833,61.81,80,58,10.2,broken clouds
48,Qaanaaq,GL,77.484,-69.3632,25.79,74,100,1.45,overcast clouds
49,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,9.22,clear sky
50,Nikolskoye,RU,59.7035,30.7861,41.72,89,84,5.41,broken clouds
51,Basco,PH,20.4487,121.9702,82.74,77,85,14.58,overcast clouds
52,San Jose De Rio Tinto,HN,14.9333,-85.7,99.97,35,25,3.36,scattered clouds
53,Cabo San Lucas,MX,22.8909,-109.9124,90.7,27,40,13.8,scattered clouds
54,Alexandria,EG,31.2156,29.9553,69.76,68,0,11.5,clear sky
55,Vao,NC,-22.6667,167.4833,74.25,60,84,16.98,broken clouds
56,Hermanus,ZA,-34.4187,19.2345,50.81,74,95,4.07,overcast clouds
57,Husavik,IS,66.0449,-17.3389,42.17,91,100,2.57,overcast clouds
58,El Estor,GT,15.5333,-89.35,93.6,51,97,3.18,overcast clouds
59,Rawson,AR,-43.3002,-65.1023,65.41,30,70,20.31,broken clouds
60,Priargunsk,RU,50.3691,119.1012,50.9,22,46,10.18,scattered clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,11,11.21,few clouds
62,Butaritari,KI,3.0707,172.7902,82.06,78,14,15.95,few clouds
63,Albany,US,42.6001,-73.9662,64.92,26,100,1.01,overcast clouds
64,Busselton,AU,-33.65,115.3333,56.07,81,2,2.08,clear sky
65,Yerbogachen,RU,61.2767,108.0108,29.48,91,99,12.39,light snow
66,Papara,BR,-3.9839,-38.7273,80.69,92,100,2.75,light rain
67,Rio Grande,BR,-32.035,-52.0986,71.71,78,1,8.86,clear sky
68,Xam Nua,LA,20.4197,104.0439,66.25,99,96,1.66,overcast clouds
69,Kruisfontein,ZA,-34.0033,24.7314,52.88,68,100,3.94,overcast clouds
70,Mana,GF,5.6592,-53.7767,81.75,74,35,9.55,scattered clouds
71,Provideniya,RU,64.3833,-173.3,32.45,96,84,8.84,light snow
72,Fairbanks,US,64.8378,-147.7164,43.21,64,100,12.66,overcast clouds
73,Nelson Bay,AU,-32.7167,152.15,52.0,89,0,6.67,light rain
74,Necochea,AR,-38.5473,-58.7368,71.55,55,8,15.57,clear sky
75,Zhanaozen,KZ,43.3,52.8,56.84,86,74,13.62,broken clouds
76,Kahului,US,20.8947,-156.47,84.22,51,40,17.27,scattered clouds
77,Dillon,US,34.4166,-79.3712,62.58,64,96,15.12,overcast clouds
78,Constitucion,CL,-35.3333,-72.4167,57.38,80,100,4.07,overcast clouds
79,Statesville,US,35.7826,-80.8873,61.92,63,100,8.05,overcast clouds
80,Kodiak,US,57.79,-152.4072,47.71,43,0,21.85,clear sky
81,Atar,MR,20.5169,-13.0499,96.22,16,98,11.56,overcast clouds
82,Blagoyevo,RU,63.3667,47.9167,39.85,93,100,8.12,overcast clouds
83,Daru,PG,-9.0763,143.2092,80.65,90,77,9.71,broken clouds
84,Thompson,CA,55.7435,-97.8558,60.96,41,40,18.41,scattered clouds
85,Saskylakh,RU,71.9167,114.0833,9.66,94,95,14.03,overcast clouds
86,Iqaluit,CA,63.7506,-68.5145,29.93,58,75,4.61,broken clouds
87,North Bend,US,43.4065,-124.2243,48.24,89,100,6.91,overcast clouds
88,Hobart,AU,-42.8794,147.3294,42.06,90,0,11.5,clear sky
89,Almaznyy,RU,48.0448,40.045,48.7,53,94,4.59,overcast clouds
90,Sesheke,ZM,-17.4759,24.2968,68.45,33,0,1.74,clear sky
91,Manitouwadge,CA,49.1215,-85.8403,63.5,19,80,14.94,broken clouds
92,Neiafu,TO,-18.65,-173.9833,79.48,78,75,4.61,broken clouds
93,Yeppoon,AU,-23.1333,150.7333,67.78,88,100,13.94,light rain
94,Upernavik,GL,72.7868,-56.1549,20.86,77,87,6.42,overcast clouds
95,Mwingi,KE,-0.9344,38.0601,69.31,74,81,8.63,broken clouds
96,Port Alfred,ZA,-33.5906,26.891,58.17,91,98,1.99,overcast clouds
97,Hamilton,US,39.1834,-84.5333,71.76,48,0,9.22,clear sky
98,Jalu,LY,29.0331,21.5482,75.11,30,0,16.02,clear sky
99,Portland,US,45.5234,-122.6762,50.23,82,100,4.61,overcast clouds
100,Inhambane,MZ,-23.865,35.3833,71.71,86,0,8.01,light rain
101,Ulladulla,AU,-35.35,150.4667,49.77,85,48,8.16,scattered clouds
102,Okoneshnikovo,RU,54.8377,75.0834,48.43,58,8,0.67,clear sky
103,Namibe,AO,-15.1961,12.1522,73.06,65,0,9.84,clear sky
104,San Patricio,US,28.017,-97.5169,89.69,48,3,20.36,clear sky
105,Avarua,CK,-21.2078,-159.775,84.25,79,40,6.91,scattered clouds
106,Ponta Do Sol,PT,32.6667,-17.1,67.01,77,42,4.94,scattered clouds
107,Moose Factory,CA,51.2585,-80.6094,71.6,21,0,12.66,clear sky
108,Kontagora,NG,10.3999,5.4695,79.92,67,100,7.38,light rain
109,Lavrentiya,RU,65.5833,-171.0,32.22,90,100,5.23,overcast clouds
110,Fort Nelson,CA,58.8053,-122.7002,33.39,86,100,17.27,mist
111,Smithers,CA,54.7804,-127.1743,53.92,40,75,11.5,light intensity shower rain
112,Labuhan,ID,-6.8844,112.2051,78.57,88,97,7.29,overcast clouds
113,Khatanga,RU,71.9667,102.5,2.59,97,57,9.01,broken clouds
114,Castro,BR,-24.7911,-50.0119,63.43,73,3,5.95,clear sky
115,Bubaque,GW,11.2833,-15.8333,77.5,72,24,12.48,few clouds
116,Pisco,PE,-13.7,-76.2167,73.45,68,36,23.02,dust
117,Mecca,SA,21.4267,39.8261,82.67,38,0,6.62,clear sky
118,Barrow,US,71.2906,-156.7887,24.82,80,100,10.36,overcast clouds
119,Nago,JP,26.5881,127.9761,76.05,93,98,6.29,overcast clouds
120,Matara,LK,5.9485,80.5353,80.96,87,92,13.69,overcast clouds
121,Iracoubo,GF,5.4802,-53.2011,81.09,77,18,10.74,few clouds
122,Sept-Iles,CA,50.2001,-66.3821,49.05,42,20,13.8,few clouds
123,Bara,NG,10.3744,10.7288,92.26,42,92,9.31,overcast clouds
124,Coihaique,CL,-45.5752,-72.0662,49.95,50,75,8.05,broken clouds
125,Isangel,VU,-19.55,169.2667,74.17,72,28,12.46,scattered clouds
126,Ushumun,RU,52.7833,126.5333,43.14,46,99,7.58,overcast clouds
127,Belyy Yar,RU,53.6039,91.3903,30.85,48,0,4.47,clear sky
128,Lompoc,US,34.6391,-120.4579,71.56,58,0,37.0,clear sky
129,Kefamenanu,ID,-9.4467,124.4781,73.54,76,87,7.58,overcast clouds
130,Les Cayes,HT,18.2,-73.75,83.25,61,5,8.68,clear sky
131,Hasaki,JP,35.7333,140.8333,59.4,54,100,12.62,overcast clouds
132,San Roque,ES,36.2107,-5.3842,65.23,82,0,4.61,clear sky
133,Makakilo City,US,21.3469,-158.0858,80.92,57,75,10.36,broken clouds
134,Nabire,ID,-3.3667,135.4833,77.61,91,100,2.91,overcast clouds
135,Broome,US,42.2506,-75.833,65.98,25,0,14.97,clear sky
136,Takayama,JP,36.1333,137.25,44.6,82,97,1.01,overcast clouds
137,Owatonna,US,44.0839,-93.226,59.49,64,100,19.57,overcast clouds
138,Mar Del Plata,AR,-38.0023,-57.5575,71.94,67,0,18.41,clear sky
139,Victoria,HK,22.2855,114.1577,77.38,79,100,8.01,light rain
140,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,40,9.22,scattered clouds
141,La Libertad,EC,-2.2333,-80.9,78.46,78,0,16.11,clear sky
142,Maarianhamina,AX,60.0973,19.9348,31.86,74,0,1.14,clear sky
143,Port Blair,IN,11.6667,92.75,78.84,89,100,11.5,overcast clouds
144,Souillac,MU,-20.5167,57.5167,75.58,88,20,3.44,light rain
145,Svetlyy,RU,54.675,20.1347,48.25,66,94,13.71,overcast clouds
146,Soe,ID,-9.8607,124.284,64.58,90,56,3.87,broken clouds
147,Koson,UZ,39.0375,65.585,80.92,33,85,8.12,overcast clouds
148,Itaporanga,BR,-7.3044,-38.1503,85.98,44,97,7.76,overcast clouds
149,Nemuro,JP,43.3236,145.575,39.74,78,38,8.48,scattered clouds
150,Yellowknife,CA,62.456,-114.3525,28.56,86,100,26.46,light snow
151,Yining,CN,29.0361,114.5636,66.67,99,86,0.67,overcast clouds
152,Tiksi,RU,71.6872,128.8694,1.27,100,92,4.56,overcast clouds
153,Aklavik,CA,68.2191,-135.0107,39.52,75,28,9.66,scattered clouds
154,Minot,US,48.2325,-101.2963,66.31,34,75,5.75,broken clouds
155,Xunchang,CN,28.4543,104.715,71.58,90,100,1.83,light rain
156,Ferkessedougou,CI,9.6,-5.2,88.29,39,35,6.08,scattered clouds
157,Iguape,BR,-24.7081,-47.5553,70.3,75,92,7.83,overcast clouds
158,Anadyr,RU,64.75,177.4833,34.3,93,75,20.13,broken clouds
159,Carnarvon,AU,-24.8667,113.6333,62.67,94,0,5.75,clear sky
160,Novikovo,RU,51.1537,37.8879,54.41,59,82,5.61,broken clouds
161,Xicotencatl,MX,23.0167,-98.8833,100.47,29,7,11.21,clear sky
162,Nizwa,OM,22.9333,57.5333,86.52,23,0,3.2,clear sky
163,Agirish,RU,61.9247,63.0231,43.88,81,12,5.88,few clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,70,75,12.66,broken clouds
165,Pevek,RU,69.7008,170.3133,23.36,89,100,13.31,overcast clouds
166,Faya,SA,18.3851,42.4509,66.31,56,0,1.86,clear sky
167,Carutapera,BR,-1.195,-46.02,75.58,95,99,5.93,overcast clouds
168,Santa Rita,BR,-7.1139,-34.9781,81.27,78,20,10.36,few clouds
169,Leningradskiy,RU,69.3833,178.4167,22.53,94,100,5.37,overcast clouds
170,La Asuncion,VE,11.0333,-63.8628,87.53,62,11,16.11,few clouds
171,San Cristobal,VE,7.7669,-72.225,80.78,59,87,5.82,overcast clouds
172,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,77,20,4.41,few clouds
173,Filingue,NE,14.3521,3.3168,96.3,18,42,5.84,scattered clouds
174,Port Elizabeth,ZA,-33.918,25.5701,62.31,89,100,6.91,light rain
175,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,0,3.44,clear sky
176,Hami,CN,42.8,93.45,67.55,31,0,9.95,clear sky
177,Geraldton,AU,-28.7667,114.6,55.81,94,40,8.05,scattered clouds
178,Markapur,IN,15.7333,79.2833,87.15,52,100,4.36,overcast clouds
179,Zeya,RU,53.75,127.2667,42.39,41,83,5.39,broken clouds
180,Mogzon,RU,51.7435,111.9606,39.7,92,100,10.63,moderate rain
181,Panguna,PG,-6.3164,155.4848,68.94,97,34,2.59,light rain
182,Lyubytino,RU,58.8122,33.3922,36.45,93,24,6.78,few clouds
183,College,US,64.8569,-147.8028,43.2,64,75,12.66,broken clouds
184,Wanning,CN,18.8003,110.3967,77.14,87,100,1.28,overcast clouds
185,Sambava,MG,-14.2667,50.1667,75.42,90,17,8.23,light rain
186,Kandi,BJ,11.1342,2.9386,85.93,49,100,6.6,overcast clouds
187,Karratha,AU,-20.7377,116.8463,77.05,35,100,11.27,overcast clouds
188,Itarema,BR,-2.9248,-39.9167,78.46,89,100,10.94,light rain
189,Aguimes,ES,27.9054,-15.4461,66.67,77,20,24.0,few clouds
190,Bonavista,CA,48.6499,-53.1147,34.65,69,4,12.26,clear sky
191,Harper,LR,4.375,-7.7169,79.48,84,100,6.62,overcast clouds
192,Alofi,NU,-19.0595,-169.9187,76.89,88,100,10.36,drizzle
193,Katsuura,JP,35.1333,140.3,61.0,68,100,11.43,overcast clouds
194,Mahebourg,MU,-20.4081,57.7,75.49,88,20,3.44,few clouds
195,Zapolyarnyy,RU,69.4154,30.8136,31.28,80,92,2.51,overcast clouds
196,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,62.94,32,1,4.5,clear sky
197,Esperance,AU,-33.8667,121.9,60.28,46,2,9.42,clear sky
198,Dwarka,IN,22.2394,68.9678,81.5,77,0,13.09,clear sky
199,Tura,IN,25.5198,90.2201,71.56,82,12,4.36,few clouds
200,Severo-Kurilsk,RU,50.6789,156.125,38.66,95,100,20.02,moderate rain
201,Pau Dos Ferros,BR,-6.1125,-38.2063,85.28,51,100,4.5,overcast clouds
202,Oranjemund,NA,-28.55,16.4333,56.32,77,39,11.81,scattered clouds
203,Tomatlan,MX,19.9333,-105.25,87.67,49,7,11.27,clear sky
204,Artyom,AZ,40.4723,50.333,55.54,82,97,20.38,overcast clouds
205,Camacha,PT,33.0833,-16.3333,60.22,67,20,10.36,few clouds
206,Cleethorpes,GB,53.5605,-0.0323,52.45,76,8,14.97,clear sky
207,Yulara,AU,-25.2406,130.9889,51.64,40,100,5.75,overcast clouds
208,Chokurdakh,RU,70.6333,147.9167,11.35,85,58,7.85,broken clouds
209,Agnibilekrou,CI,7.1344,-3.2047,72.5,99,100,3.24,heavy intensity rain
210,Sidney,AU,-33.8679,151.2073,59.72,83,75,16.11,moderate rain
211,Namatanai,PG,-3.6667,152.4333,80.53,82,99,11.97,overcast clouds
212,Klaksvik,FO,62.2266,-6.589,49.12,97,100,22.39,light rain
213,Jalingo,NG,8.8833,11.3667,86.16,57,18,2.15,few clouds
214,Clarence Town,AU,-32.5833,151.7833,54.81,82,1,2.86,clear sky
215,Hay River,CA,60.8156,-115.7999,31.98,86,100,17.27,light snow
216,Talnakh,RU,69.4865,88.3972,9.21,95,71,7.11,broken clouds
217,Salihli,TR,38.4826,28.1477,60.71,64,94,3.85,overcast clouds
218,Saint George,US,37.1041,-113.5841,83.25,12,0,26.46,clear sky
219,Vardo,NO,70.3705,31.1107,26.58,80,0,9.22,clear sky
220,Margate,GB,51.3813,1.3862,48.69,79,5,4.0,clear sky
221,Manaure,CO,11.7751,-72.4445,88.16,60,78,8.9,broken clouds
222,Tchollire,CM,8.4022,14.1698,87.4,38,50,2.17,scattered clouds
223,Kent,GB,51.1667,0.6667,50.5,82,6,7.02,clear sky
224,Talara,PE,-4.5772,-81.2719,77.76,61,0,20.71,clear sky
225,Ribeira Grande,PT,38.5167,-28.7,64.8,77,20,9.22,few clouds
226,Maceio,BR,-9.6658,-35.7353,78.24,73,75,11.5,light rain
227,Syava,RU,58.0146,46.3222,51.19,66,80,10.71,broken clouds
228,Khorol,UA,49.7837,33.2783,53.6,60,98,6.53,overcast clouds
229,Itaituba,BR,-4.2761,-55.9836,84.36,79,75,4.61,broken clouds
